"name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location"
"LD038323","HSS-8078928","917Q8Y3","VIHA-CPRC-Cairnsmore Place (CDH)-Main Building-1st Floor","Old Building","RM#48","1","VIHATRP20231003-063","11/30/2027","03/13/2025","General Rounding","Activities"
"LD038324","HSS-8065495","7T24NN3","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Hallway East - Substation)","3","VIHATRP20220808-190","12/31/2026","09/12/2025","General Rounding","CDH 3rd Floor East"
"LD038355","HSS-8078611","10FPGY3","VIHA-MMHU-Margaret Moss Building-Main Building-Basement 1","Main Building","21 (Megan)","G","VIHATRP20230911-112","10/31/2027","03/17/2025","General Rounding","Public Health"
"LD038357","HSS-8065702","8C2KLN3","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","WFH - Devon","1","VIHATRP20220815-171","12/31/2026","02/26/2025","General Rounding","Public Health"
"LD038358","HSS-8065470","1072NN3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1034 (Switchboard)","1","VIHATRP20220808-159","12/31/2026","08/21/2025","General Rounding","Switchboard"
"LD038359","HSS-8078922","962RGY3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","D Wing","D097 (Sheri Biblow)","1","VIHATRP20231003-057","11/30/2027","03/17/2025","General Rounding","Human Resources - South Team 3"
"LD038432","HSS-8065499","57ZDLN3","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3S (Nurse Station - Front)","3","VIHATRP20220808-192","12/31/2026","09/12/2025","General Rounding","CDH 3rd Floor South"
"LD038433","HSS-8065527","GFX5NN3","VIHA-DGSHC-Duncan Government Street Health Centre-Main Building-1st Floor","Main Building","Reception","1","VIHATRP20220808-216","12/31/2026","03/28/2025","General Rounding","Diabetes & Geriatrics Clinic"
"LD038434","HSS-8065515","J0XJLN3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G046 (FMO Manager)","G","VIHATRP20220808-204","12/31/2026","01/10/2025","General Rounding","FMO"
"LD038580","HSS-8065683","3815NN3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","101 (W45)","1","VIHATRP20220815-152","12/31/2026","06/13/2025","General Rounding","CHS - Community Health Services"
"LD038580","HSS-8065785","HSM60N3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","118 (W82)","1","VIHATRP20220815-152","11/30/2030","07/25/2025","General Rounding","Admin Support"
"LD038581","HSS-8065489","HSV4NN3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2043 (2nd Floor Day Room)","2","VIHATRP20220808-178","12/31/2026","07/11/2025","General Rounding","Medicine"
"LD038582","HSS-8065475","2ZM7NN3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1017 (OR Purchasing Office)","1","VIHATRP20220808-164","12/31/2026","07/04/2025","General Rounding","MDRD"
"LD038591","HSS-8065681","JGHFLN3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","116 (W61)","1","VIHATRP20220815-150","12/31/2026","07/25/2025","General Rounding","Home Care Nursing (South HCN 2)"
"LD039384","HSS-8076467","JQ5Z4X3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","Faye Hjort Office (FPC Area)","1","VIHATRP20230717-080","08/31/2027","02/28/2025","General Rounding","Administration"
"LD039385","HSS-8076397","6R0Z4X3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","FPC Provider Area (Fran)","1","VIHATRP20230717-008","08/31/2027","02/28/2025","General Rounding","Family Practice Clinic"
"LD039649","HSS-8077183","GHNX4X3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1039 (Rehab Area)","1","VIHATRP20230807-035","09/30/2027","06/18/2025","General Rounding","Rehabilitation"
"LD039650","HSS-8065651","49G7NN3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","C319 (Social Work)(TBD)","1","VIHATRP20220815-120","12/31/2026","03/17/2025","General Rounding","(TBD)"
"LD039651","HSS-8065675","3Z2LLN3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","C Wing","404","1","VIHATRP20220815-144","12/31/2026","03/17/2025","General Rounding","Social Work"
"LD040007","HSS-8065654","JQWJLN3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","Activities","1","VIHATRP20220815-123","12/31/2026","03/17/2025","General Rounding","(TBD)"
"LD040110","HSS-8073851","612SQV3","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","109 (Clinical Lead)","1","VIHATRP20230424-025","06/30/2027","03/21/2025","General Rounding","Acute Care"
"LD040112","HSS-8078919","6KWQ8Y3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","C418","1","VIHATRP20231003-054","11/30/2027","03/17/2025","General Rounding","Cowichan Lodge Seniors TMH"
"LD040113","HSS-8065661","2X4FLN3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","C319(OT Office)(TBD)","1","VIHATRP20220815-130","12/31/2026","03/17/2025","General Rounding","(TBD)"
"LD040244","HSS-8080318","77XQ8Y3","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4026 (Social Work)","4","VIHATRP20231113-022","12/31/2027","09/18/2025","General Rounding","Social Work"
"LD040800","HSS-8076454","1B6LTV3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","FPC Provider Area","1","VIHATRP20230717-067","08/31/2027","02/28/2025","General Rounding","Family Practice Clinic"
"LD040874","HSS-8080343","9KTRGY3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B47","1","VIHATRP20231113-047","12/31/2027","05/13/2024","General Rounding","Staff Scheduling"
"LD040889","HSS-8080342","7RJQGY3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B47","1","VIHATRP20231113-046","12/31/2027","05/13/2024","General Rounding","(TBD)"
"LD040920","HSS-8083124","87VGDY3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B47","1","VIHATRP20240205-023","03/31/2028","","General Rounding","(TBD)"
"LD040923","HSS-8090990","BNFJVW3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B47","1","VIHATRP20241104-047","12/31/2028","","General Rounding","Region 3 Scheduling Duncan"
"LD040928","HSS-8083125","FT459W3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","staffing","1","VIHATRP20240205-024","03/31/2028","","General Rounding","Region 3 Scheduling Duncan"
"LD040997","HSS-8082580","70HQDY3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","WFH (Vanessa Wright)","1","VIHATRP20240122-034","02/29/2028","05/13/2024","Excluded","Virtual Care Services"
"LD041605","HSS-8091129","FFM3WH3","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4029","4th Floor","VIHATRP20241111-029","12/31/2028","","Excluded","Protection Services CI"
"LD041618","HSS-8083133","6FZ89W3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","False","2","VIHATRP20240205-032","03/31/2028","","General Rounding","COVID PopHlth Asse Su&Epid"
"LD041666","HSS-6001396","PC1CZEJF","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","Not on-site (TBD)","1","","04/30/2023","04/24/2024","Excluded","(TBD)"
"LD041712","HSS-6001441","PC1CZEM1","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","310 (Outreach Team)(Floater)","3","","04/30/2023","03/28/2025","General Rounding","SUIT - Substance Use Integrated Team"
"LD042795","HSS-8089900","FYDHVW3","VIHA-MMHU-Margaret Moss Building-Main Building-Basement 1","Main Building","19","G","VIHATRP20240902-075","10/31/2028","","General Rounding","CYF CI Cowichan"
"LD042868","HSS-8091706","C1SWVH3","VIHA-DNDR-Duncan Norcross & Drinkwater Road","","Not found - 268(W116)","","VIHATRP20241216-012","12/31/2028","","Excluded","Cowichan Valley Admin"
"LD042877","HSS-8086837","1XFQCW3","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","13 (file cabinet)","1","VIHATRP20240520-043","06/30/2028","02/26/2025","General Rounding","Public Health"
"LD042878","HSS-8083152","9D56SV3","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","13 (file cabinet)","2","VIHATRP20240205-051","03/31/2028","02/26/2025","General Rounding","Public Health"
"LD042879","HSS-8083148","GQX1SV3","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","13 (file cabinet)","1","VIHATRP20240205-047","03/31/2028","03/17/2025","General Rounding","Public Health"
"LD042880","HSS-8086855","HVKVCW3","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","13 (file cabinet)","1st Floor","VIHATRP20240520-061","06/30/2028","","Excluded","Device Acquisition"
"LD042903","HSS-8083153","91P4SV3","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","13 (file cabinet)","1","VIHATRP20240205-052","03/31/2028","02/26/2025","General Rounding","Public Health"
"LD042905","HSS-1960923","PC1FCPAC","VIHA-MMHU-Margaret Moss Building-Main Building-Basement 1","Main Building","Outreach Room","G","","04/30/2023","03/27/2025","General Rounding","Outreach"
"LD043460","HSS-8083176","1V6B9W3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","WFH","1","VIHATRP20240205-075","03/31/2028","","Excluded",""
"LD043487","HSS-8091705","94VWVH3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","","1st Floor","VIHATRP20241216-022","12/31/2028","","Excluded","Region 3 Scheduling Duncan"
"LD044270","HSS-8086850","498WCW3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G026 (Dietitian Inpatient)","G","VIHATRP20240520-056","06/30/2028","04/24/2025","General Rounding","Dietary"
"LD044303","","H7L2WH3","VIHA-CDH-Cowichan District Hospital","Main Building","1025 (Surgical Services)","1","VIHATRP20250210-018","12/31/2028","","General Rounding","CDH Perioperative."
"LD044440","HSS-8086817","8ZBYCW3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","D Wing","D Wing(TBD)","1","VIHATRP20240520-027","06/30/2028","02/21/2025","General Rounding",""
"LD044452","HSS-8086811","HMFQCW3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","","WFH","","VIHATRP20240520-021","06/30/2028","","",""
"LD044489","HSS-8089537","FBMQCW3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","","WFH - Candy Craven","","VIHATRP20240902-061","10/31/2028","","Excluded","SI Admin Support"
"LD044553","HSS-8086821","1T81DW3","VIHA-CPRC-Cairnsmore Place (CDH)-Main Building-1st Floor","Main Building","WFH - Aimee MacPhail","1st Floor","VIHATRP20240520-030","06/30/2028","","Excluded","End of Life"
"LD044560","HSS-8089526","44MJVW3","VIHA-LCHU-Lake Cowichan Health Unit-Main Building-1st Floor","Main Building","Main Office","1","VIHATRP20240902-050","10/31/2028","03/21/2025","General Rounding","Education and Practice Support"
"LD045383","HSS-8086812","8WFQCW3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","D Wing","D Wing(Room D82)","1","VIHATRP20240520-022","06/30/2028","","General Rounding",""
"LD045604","HSS-8084826","59979W3","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","WFH ???","1","VIHATRP20240325-084","04/30/2028","07/18/2025","General Rounding","(TBD)"
"LD045667","HSS-8086804","G5YXCW3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1103 (Hallway)","1","VIHATRP20240520-014","06/30/2028","07/11/2025","General Rounding","OR Booking"
"LD045815","HSS-8085544","HJLXCW3","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4036","4","VIHATRP20240415-007","05/31/2028","06/13/2025","General Rounding","Psychiatry"
"LD045939","HSS-8089521","BC3SCW3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","D92","1","VIHATRP20240902-045","09/30/2028","","General Rounding","EWS Home Care"
"LD045941","HSS-8086818","10SXCW3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","D90","1","VIHATRP20240520-080","06/30/2028","","General Rounding","Cowichan Valley PCN"
"LD046162","HSS-8086836","11MQCW3","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","13 (file cabinet)","1","VIHATRP20240520-087","06/30/2028","02/26/2025","General Rounding","Public Health"
"LD046165","HSS-8086826","903QCW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","138 (W20)","1","VIHATRP20240520-083","06/30/2028","07/25/2025","General Rounding","Cowichan Valley Home Support"
"LD046175","HSS-1964220","PC1G5VDV","VIHA-MMHU-Margaret Moss Building-Main Building-Basement 1","Main Building","Outreach Room","G","COVID19W-05-0043","04/30/2024","03/27/2025","General Rounding","Outreach"
"LD046181","HSS-8088998","9XXRCW3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","123","1","VIHATRP20240806-007","01/31/2029","05/20/2025","General Rounding","Cowichan Valley Home Support"
"LD046182","HSS-8086828","GRFQCW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","138 (W19)","1","VIHATRP20240520-085","06/30/2028","07/25/2025","General Rounding","Cowichan Valley Home Support"
"LD046199","HSS-8092337","4TG3WH3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-Basement 1","Main Building","G08 (Physiotherapy)","G","VIHATRP20250224-024","12/31/2028","","General Rounding","North Cowichan Comm Hlth Serv"
"LD046200","HSS-8091970","9W23WH3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","WFH","1","VIHATRP20250120-040","12/31/2028","","General Rounding","Ladysmith Family Practice"
"LD046201","HSS-8093116","78JHX64","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-Basement 1","Main Building","G08 (Physiotherapy)","Basement 1","ISLHTRP20250421-037","03/31/2029","","General Rounding",""
"LD046281","HSS-1964250","1PQHN53","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","06 (Hillary)","1","DMND0002340-COVID19W-06-0007","04/30/2025","03/27/2025","General Rounding","Public Health"
"LD046287","HSS-8095139","F7ZP774","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","13 (file cabinet)","1st Floor","ISLHTRP20250825-024","","","",""
"LD046294","HSS-8092694","7NHZFW3","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","07 (Shylo Miller  - L6)","1","ILSHTRP20250324-015","03/31/2029","","General Rounding","CYF CI Cowichan"
"LD046294LEG","HSS-1964263","3TQHN53","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","07 (Shylo Miller  - L6)","1","DMND0002340-COVID19W-06-0020","04/30/2025","05/24/2024","General Rounding","Public Health"
"LD046297","HSS-8092695","23MTFW3","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","13 (file cabinet)","1","ILSHTRP20250324-016","03/31/2029","","General Rounding","CYF CI Cowichan"
"LD046297LEG","HSS-1964266","8BZKN53","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","13 (file cabinet)","1","DMND0002340-COVID19W-06-0023","04/30/2025","03/17/2025","General Rounding","Public Health"
"LD046313","HSS-1964282","672JN53","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","D Wing","D087 (Sarah StCyr)","1","DMND0002340-COVID19W-06-0039","04/30/2025","05/24/2024","General Rounding","Occupational Health and Safety"
"LD046424","HSS-8091973","9NX2WH3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","WFH","1st Floor","VIHATRP20250120-059","12/31/2028","","","Cowichan Valley PCN"
"LD048203","HSS-8092705","CCMTFW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","223 (W147)","2nd Floor","ILSHTRP20250324-011","03/31/2029","","","Professional Practice Team A"
"LD048210","HSS-8093115","BBYHX64","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-Basement 1","Main Building","G21 (Griffin Russell)","Basement 1","ISLHTRP20250421-036","03/31/2029","","General Rounding","PH & W Healthy Communities"
"LD048241","HSS-8092706","8QHSFW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","223 (W146)","2nd Floor","ILSHTRP20250324-012","03/31/2029","","","Duncan Community Hlth Services"
"LD048275","HSS-1967590","CPGTN73","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","102 (Health Records)","1","COVID19W-07-0083","06/30/2025","07/18/2025","General Rounding","Health Records"
"LD048569","HSS-1968252","6KLTDB3","VIHA-SSCHC-Salt Spring Island Creek House-Main Building-1st Floor","Main Building","In box at Reception","1","COVID19W-08-0097","06/30/2025","06/02/2025","General Rounding",""
"LD049768","HSS-1971398","62988C3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G026 (Dietician Coordinator)","G","DMND0002792","08/31/2025","04/24/2025","General Rounding","Dietary"
"LD055249","HSS-8091971","5NX2WH3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","110","1","VIHATRP20250120-041","12/31/2028","","General Rounding",""
"LD055290","HSS-8092211","GVS3WH3","VIHA-SSMHSU-Salt Spring Mental Health Substance Use Services-Main Building-1st Floor","Main Building","204 - 4 (Section B)","2","VIHATRP20250210","12/31/2028","02/28/2025","General Rounding","Mental Health & Substance Abuse"
"LD055595","HSS-8092770","J6JSFW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","215","1st Floor","ILSHTRP20250324","03/31/2029","","","CDH Implementation Admin"
"LD055621","HSS-1024159","FBB4Q73","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4026 (Social Work)","4","REQ0168019-RITM0175386-SCTASK0258912","05/31/2025","09/18/2025","General Rounding","Social Work"
"LD055635","HSS-8092708","JWNZFW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","219 - Not Found","2nd Floor","ILSHTRP20250324-014","03/31/2029","","","FS Cowichan Valley"
"LD055660","HSS-8092692","2YNZFW3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","D83 - WFH","1st Floor","ILSHTRP20250324-001","03/31/2029","","Excluded","Assisted Living Admin"
"LD055792","HSS-8092707","FRHSFW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","257 (W119)","2nd Floor","ILSHTRP20250324-013","03/31/2029","06/18/2025","General Rounding","Cowichan Health & Care"
"LD055910","HSS-1025170","CX80FB3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","(TBD)","1","REQ0189193-RITM0197917-SCTASK0301582","08/31/2025","","General Rounding","ACT Team"
"LD055927","HSS-1025174","D6PZDB3","VIHA-FHMH-Floral House Mental Health-Main Building-1st Floor","Main Building","2","1","REQ0189074-RITM0197795-SCTASK0297492","08/31/2025","06/03/2025","General Rounding","ACT Team"
"LD055967","HSS-8093118","7MPSFW3","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","WFH Dr Peter Gotz","4","ISLHTRP20250421-040","03/31/2029","06/13/2025","General Rounding","Psychiatry"
"LD055968-NEW","HSS-1048194","1072WH3","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3037 (Tub Room)","3","REQ1497377-RITM1579789-SCTASK2537395","10/31/2028","08/25/2025","General Rounding","Administration"
"LD056049","HSS-8092696","C7GTFW3","VIHA-MMHU-Margaret Moss Building-Main Building-Basement 1","Main Building","22 (Desk C - Brenda W)","G","ILSHTRP20250324-017","03/31/2029","","General Rounding","CYF CI Cowichan"
"LD056099","HSS-1026509","2PNZDB3","VIHA-SSCHC-Salt Spring Island Creek House-Main Building-1st Floor","Main Building","Room 3 (Clinic Room)","1","REQ0202747-RITM0212227-SCTASK0317532","08/31/2025","06/02/2025","General Rounding","Public Health"
"LD056530","HSS-8094674","3DTN774","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B33","1st Floor","ISLHTRP20250728-044","07/31/2029","","",""
"LD056576","HSS-8094675","GV5MR54","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","218 (W128) WFH - Corry Pettigrew","2nd Floor","ISLHTRP20250728-045","03/31/2029","","","Implement-Clinical"
"LD056632","HSS-8095133","565P774","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","Home Use","2nd Floor","ISLHTRP20250825-018","","","General Rounding",""
"LD056771","HSS-1027831","FB178C3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2044 (Tub Room)","2","REQ0277591-RITM0290670-SCTASK0447996","09/30/2025","07/11/2025","General Rounding","Medicine"
"LD057152","HSS-1028670","876P8C3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2043 (2nd Floor Day Room)","2","REQ0312749-RITM0327494-SCTASK0501902","11/30/2025","07/04/2025","General Rounding","Medicine"
"LD057159","HSS-1028665","6NBB593","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3033 (Clinical Coordinator Office)","3","REQ0313790-RITM0328591-SCTASK0504549","12/31/2025","08/25/2025","General Rounding","Medical"
"LD057407","HSS-1029440","GS678C3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G029B (Nurse Educator Office)","G","REQ0312725-RITM0327470-SCTASK0566934","11/30/2025","04/29/2025","General Rounding","Clinical Education"
"LD057494","HSS-1030267","7YT88C3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1025 (Surgical Services)","1","REQ0369450-RITM0386991-SCTASK0598648","12/31/2025","08/08/2025","General Rounding","Clinical Informatics"
"LD057524","HSS-1030404","5FFG8D3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","D Wing","D090 ??","1","REQ0362006-RITM0379132-SCTASK0606811","01/31/2026","05/14/2024","General Rounding","Indigenous Leader & Social Work"
"LD057529","HSS-1030492","69RM5G3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1025 (Surgical Services)","1","REQ0369446-RITM0386987-SCTASK0606816","01/31/2026","08/08/2025","General Rounding","Clinical Informatics"
"LD057570","HSS-1030512","460M5G3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","219 (W129)","2","REQ0375922-RITM0393774-SCTASK0614873","01/31/2026","04/11/2025","General Rounding","Implement - Project Management CDHRP"
"LD057606","HSS-1030538","7SZW5G3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","217 (W127) Geraldine Blair-Speirs","2","REQ0375609-RITM0393448-SCTASK0624126","02/28/2026","04/11/2025","General Rounding","Implement - Project Management CDHRP"
"LD057694","HSS-1030888","69VV8D3","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","303 (Meeting Room)(SUIT Spare)","3","REQ0403091-RITM0422373-SCTASK0658574","02/28/2026","03/28/2025","General Rounding","SUIT - Substance Use Integrated Team"
"LD057750","HSS-1031320","4RM37G3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","218 (W128)","2","REQ0410290-RITM0430079-SCTASK0668281","02/28/2026","04/11/2025","General Rounding","Implement - Project Management CDHRP"
"LD057954","HSS-1031870","CS682J3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","WFH - Jennifer Sirup","2","REQ0447848-RITM0469431-SCTASK0727900","03/31/2026","12/21/2023","Excluded","Cowichan Valley Admin"
"LD057985","HSS-1031764","4J982J3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","257 (W118)","2","REQ0449657-RITM0471359-SCTASK0731897","03/31/2026","06/18/2025","General Rounding","Cowichan Hlth & Care Plan"
"LD058016","HSS-8094677","C7BP774","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","314 (Manager)","1st Floor","ISLHTRP20250728-047","07/31/2029","","","MHSU Cowi Nana & Tert Adm"
"LD058022","HSS-1022278","61G2Q73","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1017 (OR Purchasing Office)","1","REQ0146216-RITM0152466-SCTASK0229220","03/31/2025","08/21/2025","General Rounding","MDRD"
"LD058048","HSS-8094676","DBTN774","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","","","","ISLHTRP20250728-046","07/31/2029","","","Cowich Vall MHSU Adm Supp"
"LD058061","HSS-1024302","125JQ73","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B?? (TBD)","1","REQ0167721-RITM0175072-SCTASK0263562","05/31/2025","","General Rounding","ACT Team"
"LD058093","HSS-1025018","5NVDP73","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2083 (Nikki Kokkinis)","2","REQ0174750-RITM0182531-SCTASK0270467","06/30/2025","08/21/2025","General Rounding","Administration"
"LD058171","HSS-1025014","2W9DP73","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","Trailer 1 (Admin Office) / 208","G","REQ0177812-RITM0185839-SCTASK0275640","06/30/2025","12/09/2024","General Rounding","Administration"
"LD058172","HSS-1025189","C601FB3","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","ACT Team Area-","1","REQ0177811-RITM0185838-SCTASK0275650","08/31/2025","","General Rounding","Mental Health and Substance Abuse"
"LD058440","HSS-1026447","CDW0FB3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","WFH - Not Found ??","1","REQ0230934-RITM0241950-SCTASK0367435","08/31/2025","05/21/2024","General Rounding","(TBD)"
"LD058697","HSS-8094672","94KMR54","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B32","1st Floor","ISLHTRP20250728-042","03/31/2029","","","Region 3 Scheduling Duncan"
"LD058708","HSS-8094671","1X5MR54","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B50","1st Floor","ISLHTRP20250728-041","03/31/2029","","","Region 3 Scheduling Duncan"
"LD058774","HSS-8095138","55ZP774","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","WFH - Home Office (VPN)","3rd Floor","ISLHTRP20250825-023","","","",""
"LD058910","HSS-1028530","BVY8BC3","VIHA-SSMHSU-Salt Spring Mental Health Substance Use Services-Main Building-1st Floor","Lancer Building","Office 5 (Section C)","2","REQ0289621-RITM0303248-SCTASK0466283","10/31/2025","02/28/2025","General Rounding","Mental Health & Substance Abuse"
"LD058911","HSS-1028688","B3HT493","VIHA-SSMHSU-Salt Spring Mental Health Substance Use Services-Main Building-1st Floor","Lancer Building","Kitchen (Floor 1)","1","REQ0289075-RITM0302682-SCTASK0466274","10/31/2025","02/28/2025","General Rounding","Mental Health & Substance Abuse"
"LD058976","HSS-1029083","3CN8BC3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Trailer","Trailer 1 (Admin Office)","G","REQ0321683-RITM0336833-SCTASK0518877","11/30/2025","12/13/2023","General Rounding","Administration"
